year,stationID,ID,date,towtime,type,totalnum,juvnum,abundance,Latitude,Longitude,Temperature,Salinity,Depth,Distance_Offshore,Sediment,Sediment_Type,Distance_Sediment_Boundary
FL04,84,FL0484,11/18/04,20,NA,33,3,3,44.61315,-67.1905,8.5,32.2,-88.96998596,0.030478634,sd-cl/st,5,0.030478655
FL00,35,FL0035,11/14/00,20,R,4,0,0,44.39937,-68.8781,10.2,32.52,-19.71767235,0.006962369,sd-st/cl,6,0.006962308
FL02,38,FL0238,10/29/02,20,R,2,0,0,44.18683,-68.90237,11.4,32.74,-43.32339859,0.029507821,sd-st/cl,6,0.012528231
FL02,6,FL026,10/15/02,20,R,14,0,0,42.9966,-70.48913,9.4,32.97,-88.04579163,0.107893547,sd-cl/st,5,0.00788121
FL03,75,FL0375,11/18/03,18,F,85,21,23.33333333,44.58667,-67.29417,9.2,33.02,-54.89880371,0.012169401,sd-cl/st,5,0.004405383
FL12,17,FL1217,9/27/12,19,R,222,104,109.4736842,43.23535,-70.51803,10.4,32.64,-43.25680923,0.059171538,gr,1,0.012892275
FL07,20,FL0720,10/5/07,20,R,169,58,58,43.47957,-70.21797,8.8,32.55,-62.90473938,0.059901478,sd,3,0.043844587
FL04,10,FL0410,10/14/04,15,R,48,12,16,43.16967,-70.442,7.8,32.36,-62.7637558,0.05848914,sd,3,0.003175247
FL00,45,FL0045,11/21/00,18,R,50,7,7.777777778,44.1566,-68.544,8.7,32.74,-16.70799828,0.017280606,gr-sd,2,0.017280509
FL01,7,FL017,9/26/01,20,R,232,174,174,43.3037,-70.5095,NA,NA,-29.6439991,0.036947373,sd,3,0.036947356
FL02,43,FL0243,10/30/02,20,F,5,1,1,44.15412,-68.76457,10.2,33.66,-40.15864944,0.019620587,sd-cl/st,5,0.019620741
FL02,57,FL0257,11/8/02,20,R,1,0,0,44.36238,-68.47905,8.5,31.84,-40.84323502,0.014602478,sd-st/cl,6,0.014602642
FL00,23,FL0023,11/8/00,20,NA,449,151,151,43.742,-69.6499,10.1,32.81,-64.61919403,0.034076723,sd/st/cl,7,0.022643628
FL08,51,FL0851,10/17/08,15,NA,51,19,25.33333333,44.15278,-68.78873,12.1,31.43,-15.15193176,0.007292892,gr-sd,2,0.003379682
FL00,22,FL0022,11/8/00,20,R,113,75,75,43.7935,-69.6454,9.8,32.79,-35.73358536,0.007326195,sd-st/cl,6,0.007326285
FL04,69,FL0469,11/7/04,20,NA,6,1,1,44.4514,-68.18627,9.2,32.2,-39.63299942,0.015252156,sd-st/cl,6,0.015252143
FL05,32,FL0532,10/29/05,21,R,57,3,2.857142857,44.17917,-69.00583,10.6,32.24,-53.80487061,0.022644867,sd-st/cl,6,0.022644822
FL12,33,FL1233,10/3/12,20,R,282,207,207,43.79467,-69.70008,11.1,32.9,-46.61544037,0.017182641,sd-st/cl,6,0.017182613
FL02,7,FL027,10/15/02,20,R,9,0,0,43.0552,-70.4362,9.2,32.99,-89.85056305,0.076108482,sd-cl/st,5,0.022701463
FL09,10,FL0910,10/6/09,20,R,156,49,49,43.16943,-70.4413,8.8,32.74,-62.39560699,0.058690359,sd,3,0.003781464
FL12,27,FL1227,10/2/12,12,R,140,92,153.3333333,43.64968,-70.00857,11.9,32.88,-49.6035347,0.061479601,gr,1,0.013936019
FL02,75,FL0275,11/19/02,20,R,132,20,20,44.62473,-67.33125,9.2,32.97,-20.7120018,0.014946651,sd,3,0.01494676
FL02,15,FL0215,10/18/02,21,R,184,101,96.19047619,43.5208,-70.2486,12.1,32.65,-34.02671814,0.018880249,sd,3,0.007315004
FL12,59,FL1259,10/12/12,16,RA,415,203,253.75,44.10413,-68.7731,13.8,32.48,-25.03732872,0.016228049,gr-sd,2,0.005561898
FL10,71,FL1071,10/29/10,20,F,768,542,542,44.28473,-68.13232,11.2,33.03,-64.77640533,0.059823831,sd-cl/st,5,0.007792207
FL06,73,FL0673,10/26/06,16,R,42,7,8.75,44.05965,-68.22607,10.4,33.51,-89.47346497,0.084092572,sd/st/cl,7,0.007750728
FL12,76,FL1276,10/18/12,17,NA,193,111,130.5882353,44.12078,-68.12453,12.2,33.72,-82.13720703,0.120887455,gr-sd,2,0.001910661
FL00,54,FL0054,11/28/00,20,R,96,48,48,44.3068,-68.1718,8.4,32.75,-51.22431946,0.016781339,gr-sd,2,0.016781336
FL12,84,FL1284,10/22/12,15,NA,83,53,70.66666667,44.49985,-67.70197,12.8,32.98,-13.17521572,0.003940793,sd,3,0.003940685
FL01,10,FL0110,9/26/01,21,RA,1,0,0,42.9543,-70.4738,NA,NA,-94.2689743,0.127878205,sd-cl/st,5,0.013807898
FL12,97,FL1297,10/25/12,15,RA,725,210,280,44.59088,-67.36718,12.3,33.36,-22.29375458,0.005527434,sd,3,0.005527394
FL11,62,FL1162,10/26/11,20,NA,978,726,726,44.22993,-68.1336,11.4,32.6,-63.58844757,0.059931965,sd-cl/st,5,0.041621582
FL07,15,FL0715,10/4/07,17,R,1,0,0,43.37473,-70.06215,5.8,33.37,-140.482605,0.232416137,sd-st/cl,6,0.013990338
FL01,6,FL016,9/25/01,21,R,3,0,0,43.0037,-70.467,NA,NA,-93.69200134,0.116896053,sd-cl/st,5,0.020084162
FL09,35,FL0935,10/15/09,20,R,40,10,10,43.76298,-69.50522,7.9,32.06,-100.5721054,0.069253772,sd/st/cl,7,0.040341874
FL05,21,FL0521,10/21/05,20,F,1,0,0,43.6985,-69.51133,8.3,33.07,-107.1811981,0.088579661,sd/st/cl,7,0.088579511
FL02,52,FL0252,11/4/02,20,F,86,21,21,44.16547,-68.53493,8.6,32.52,-13.82712841,0.023266407,gr-sd,2,0.023266277
FL07,63,FL0763,10/23/07,17,RA,5,1,1.176470588,44.32527,-68.54698,11.9,32.51,-34.0718689,0.015193721,sd-st/cl,6,0.015193635
FL06,26,FL0626,10/9/06,20,R,42,21,21,43.54847,-70.004,8.8,32.95,-99.66082001,0.153730518,sd/st/cl,7,0.004627329
FL12,71,FL1271,10/17/12,20,NA,153,49,49,44.04043,-68.26428,11.9,33.8,-89.30504608,0.093588164,sd/st/cl,7,0.031887462
FL10,49,FL1049,10/20/10,20,R,1,0,0,43.55845,-69.13947,11.6,33.61,-142.579361,0.263972239,sd-st/cl,6,0.112740016
FL07,42,FL0742,10/16/07,15,NA,6,0,0,43.71662,-69.10048,10.1,33.07,-97.09033203,0.14739686,sd-st/cl,6,0.019822236
FL00,38,FL0038,11/14/00,20,R,10,0,0,44.1306,-68.9756,NA,NA,-63.27234268,0.029087968,sd-st/cl,6,0.029087937
FL09,52,FL0952,10/22/09,20,RA,3,0,0,43.74165,-68.63407,9.9,33.43,-125.7400436,0.177137444,sd-st/cl,6,0.018796241
FL12,7,FL127,9/25/12,20,R,14,1,1,42.8874,-70.54012,7,32.72,-84.97120667,0.096598893,sd-cl/st,5,0.032045304
FL00,74,FL0074,12/3/00,20,R,104,64,64,44.5834,-67.3111,NA,NA,-49.14335632,0.013503438,sd,3,1.77E-05
FL11,64,FL1164,10/27/11,18,R,129,73,81.11111111,44.46628,-68.24382,11.8,32.19,-24.01246452,0.006486375,sd-st/cl,6,0.006486423
FL03,31,FL0331,10/24/03,20,F,188,83,83,43.83717,-69.485,9.3,32.94,-63.85638428,0.015937481,sd-st/cl,6,0.015937506
FL12,49,FL1249,10/9/12,20,R,430,129,129,44.18055,-68.92865,13.8,32.78,-59.64089966,0.022045951,sd-st/cl,6,0.022045932
FL09,17,FL0917,10/8/09,16,F,186,101,126.25,43.42303,-70.28948,9,32.68,-58.27232742,0.050086024,sd,3,0.003078439
FL11,34,FL1134,10/13/11,20,RA,10,0,0,43.58185,-69.6237,9.1,33.07,-121.3603287,0.169230707,sd/st/cl,7,0.043784302
FL07,22,FL0722,10/8/07,20,R,269,157,157,43.77795,-70.06028,13,31.14,-12.16945553,0.00963875,sd-st/cl,6,0.009638866
FL04,56,FL0456,11/1/04,19,F,92,15,15.78947368,44.01135,-68.55138,9.4,32.3,-76.51306915,0.025702399,sd/st/cl,7,0.012090601
FL00,24,FL0024,11/8/00,20,RA,1,0,0,43.5411,-69.6942,10.2,33.26,-107.4826965,0.174674719,sd/st/cl,7,0.023053432
FL05,25,FL0525,10/22/05,20,R,486,167,167,43.8275,-69.42367,9.5,32.8,-59.15955353,0.049642168,sd-st/cl,6,0.018427746
FL07,85,FL0785,11/5/07,14,R,44,1,1.428571429,44.4275,-67.44237,9.5,32.86,-74.5936203,0.095979991,sd-cl/st,5,0.030828247
FL05,28,FL0528,10/27/05,20,R,2,0,0,43.54567,-69.07017,10,33.25,-116.9731903,0.317938421,sd-st/cl,6,0.181737208
FL06,38,FL0638,10/14/06,20,R,12,3,3,43.76393,-69.43693,10.2,32.98,-81.46005249,0.099077548,sd/st/cl,7,0.044401167
FL11,83,FL1183,11/4/11,20,R,266,116,116,44.51545,-67.45562,10.6,32.51,-47.70582199,0.039474319,sd,3,0.003605131
FL00,60,FL0060,11/29/00,22,R,6,3,2.727272727,44.1623,-67.9533,NA,NA,-84.44399261,0.181546131,sd-cl/st,5,0.156405122
FL04,52,FL0452,10/29/04,20,F,198,18,18,43.91517,-68.75595,9.5,32.33,-95.2910614,0.030032261,sd-st/cl,6,0.01114419
FL08,50,FL0850,10/17/08,20,R,666,300,300,44.10618,-68.77242,12,31.45,-25.81056023,0.018063111,gr-sd,2,0.003646232
FL00,40,FL0040,11/16/00,16,R,242,11,13.75,43.9285,-68.8612,9.9,33.03,-94.71443939,0.043177634,sd/st/cl,7,0.004195393
FL03,27,FL0327,10/23/03,20,NA,54,23,23,43.71967,-69.79383,10.1,31.56,-13.53240585,0.007853827,sd,3,0.007853803
FL05,42,FL0542,11/2/05,15,F,165,47,62.66666667,44.15717,-68.54033,10.3,31.93,-16.30311203,0.020129172,gr-sd,2,0.020129064
FL01,8,FL018,9/26/01,18,F,163,108,120,43.296,-70.4883,NA,NA,-29.00245476,0.046205579,sd,3,0.021542175
FL11,74,FL1174,11/2/11,20,NA,9,7,7,44.46337,-67.85492,10.3,31.75,-9.8008461,0.008562897,sd,3,0.008563029
FL12,26,FL1226,10/1/12,16,R,287,156,195,43.63815,-70.17063,13.8,32.13,-25.70649147,0.014774371,gr,1,0.013717394
FL02,76,FL0276,11/19/02,20,R,100,22,22,44.53673,-67.2963,9.6,33.13,-69.41176605,0.060541959,sd-cl/st,5,0.048722818
FL12,57,FL1257,10/10/12,20,F,9,0,0,43.61055,-68.93892,11.2,32.99,-126.1532593,0.189866676,sd-st/cl,6,0.094135318
FL01,42,FL0142,10/9/01,20,F,1002,436,436,43.9214,-69.1271,11.1,32.54,-32.00992203,0.023993818,sd/st/cl,7,0.02399389
FL10,1,FL101,10/4/10,20,F,295,134,134,42.93792,-70.74328,14.1,31.98,-29.6880188,0.036475246,gr,1,0.007452487
FL10,12,FL1012,10/8/10,15,R,374,265,353.3333333,43.30297,-70.4956,13.9,32.13,-31.1215744,0.03788194,sd,3,0.027595103
FL12,68,FL1268,10/17/12,20,R,10,0,0,43.90258,-68.28787,10.6,34.25,-123.3387985,0.171646979,sd-st/cl,6,0.058281082
FL04,24,FL0424,10/19/04,20,F,5,1,1,43.61143,-69.86293,7.8,32.61,-78.38610077,0.092903644,sd-st/cl,6,0.011459453
FL03,33,FL0333,10/30/03,18,NA,9,0,0,44.13267,-68.96867,10.7,32.22,-66.23839569,0.028705983,sd-st/cl,6,0.028705929
FL12,95,FL1295,10/25/12,19,F,188,29,30.52631579,44.58803,-67.30303,12.3,33.38,-49.86627579,0.008802669,sd,3,0.000702149
FL01,58,FL0158,10/16/01,19,F,87,22,23.15789474,44.2051,-68.4365,NA,NA,-24.60402298,0.016865966,sd/st/cl,7,0.006869437
FL09,75,FL0975,10/29/09,20,F,736,375,375,44.28657,-68.13127,10.3,32.74,-64.23756409,0.059314612,sd-cl/st,5,0.007541525
FL01,16,FL0116,9/28/01,20,R,266,133,133,43.5317,-70.2805,NA,NA,-22.07040215,0.023016701,gr-sd,2,0.019713992
FL06,50,FL0650,10/18/06,15,R,33,14,18.66666667,44.26543,-68.99613,12.5,32.31,-50.55478287,0.01226425,sd-st/cl,6,0.012264147
FL00,25,FL0025,11/8/00,18,NA,8,0,0,43.6245,-69.6013,10.3,33.23,-98.08480072,0.126906916,sd/st/cl,7,0.062047636
FL09,56,FL0956,10/23/09,19,NA,181,60,63.15789474,44.10335,-68.77237,10.2,31.61,-25.74759483,0.016360251,gr-sd,2,0.005581246
FL03,6,FL036,10/13/03,20,R,1,0,0,42.93717,-70.48167,6.4,32.72,-99.67376709,0.122354339,sd-cl/st,5,0.008982547
FL04,29,FL0429,10/20/04,20,F,5,0,0,43.64657,-69.80952,9.9,32.27,-38.68118286,0.059634989,sd,3,0.014389216
FL10,18,FL1018,10/11/10,20,R,1,0,0,43.48108,-69.96477,8.9,33.13,-118.5501633,0.228684437,sd-st/cl,6,0.043070572
FL02,63,FL0263,11/10/02,20,F,184,23,23,44.21182,-68.06978,9.9,33.22,-77.37365723,0.1193862,sd-cl/st,5,0.090938852
FL01,64,FL0164,10/19/01,23,R,2,0,0,44.0251,-68.3019,9.2,33.08,-92.51664734,0.083963805,sd/st/cl,7,0.052892611
FL09,27,FL0927,10/13/09,20,R,384,197,197,43.76333,-70.08225,11.5,31.26,-16.13231087,0.007157656,sd-st/cl,6,0.00715767
FL12,21,FL1221,9/28/12,20,R,133,43,43,43.4535,-70.18432,8.6,33.1,-86.9282608,0.096057354,sd,3,0.010992818
FL06,71,FL0671,10/25/06,20,R,13,2,2,44.29987,-68.48088,11.8,32.46,-38.17316437,0.01550824,sd-st/cl,6,0.015508237
FL03,65,FL0365,11/11/03,20,NA,105,17,17,44.37233,-67.673,9.8,33.27,-59.12156677,0.075057539,sd-cl/st,5,0.075057516
FL03,76,FL0376,11/18/03,20,R,28,7,7,44.63833,-67.31767,7.8,31.59,-17.05809975,0.015891959,sd,3,0.015892036
FL11,40,FL1140,10/18/11,15,NA,782,617,822.6666667,43.96622,-69.14387,10.9,32.5,-28.56695747,0.013435144,sd/st/cl,7,0.013435187
FL07,58,FL0758,10/22/07,16,R,195,65,81.25,44.01633,-68.54388,9.6,32.99,-74.17036438,0.02622962,sd/st/cl,7,0.013427397
FL10,46,FL1046,10/19/10,20,R,367,206,206,44.25167,-69.00467,12.6,32.31,-46.05545044,0.013445286,sd-st/cl,6,0.013445183
FL01,31,FL0131,10/4/01,21,F,263,59,56.19047619,43.7348,-69.6488,NA,NA,-67.41744232,0.036396724,sd/st/cl,7,0.029769978
FL02,46,FL0246,10/31/02,15,RA,14,0,0,43.78512,-68.70483,10.8,33.74,-102.1616364,0.104837592,sd/st/cl,7,0.053848889
FL02,35,FL0235,10/28/02,20,F,661,116,116,43.91603,-69.13073,11.4,32.86,-24.33189011,0.019580188,sd/st/cl,7,0.01958014
FL08,4,FL084,9/30/08,20,R,127,57,57,42.98288,-70.65973,12.9,31.65,-27.20279694,0.029813432,gr,1,0.029813587
FL10,24,FL1024,10/12/10,16,R,241,179,223.75,43.6497,-70.00947,11.1,32.85,-49.71947098,0.061339704,gr,1,0.01483484
FL12,20,FL1220,9/28/12,20,F,3,0,0,43.3925,-70.12087,8,32.96,-104.029686,0.181752328,cl-st/sd,4,0.007457873
FL01,27,FL0127,10/3/01,20,R,293,47,47,43.6705,-69.8552,NA,NA,-28.31835938,0.033656473,sd,3,0.033656549
FL07,61,FL0761,10/22/07,20,R,10,0,0,43.93835,-68.42687,8.8,33.15,-96.01777649,0.158197743,sd/st/cl,7,0.029058935
FL09,66,FL0966,10/27/09,16,R,143,10,12.5,44.04202,-68.26622,10.2,32.92,-92.45666504,0.091081869,sd/st/cl,7,0.034367598
FL06,35,FL0635,10/13/06,17,RA,136,34,40,43.70607,-69.69203,11.4,32.58,-64.69212341,0.043892518,sd/st/cl,7,0.043821181
FL07,75,FL0775,10/26/07,20,R,1,0,0,44.1628,-67.89048,8.5,33.13,-95.38566589,0.204405362,sd-cl/st,5,0.133958714
FL02,79,FL0279,11/20/02,20,R,105,20,20,44.66237,-67.13075,9.6,33.09,-77.65465546,0.02374415,sd-cl/st,5,0.006847457
FL06,23,FL0623,10/9/06,20,F,18,13,13,43.60282,-69.87457,9.7,33.04,-83.0739975,0.103487836,sd-st/cl,6,0.017047807
FL10,77,FL1077,11/2/10,16,R,91,7,8.75,44.29905,-67.69938,10.7,33.37,-78.99288177,0.139380177,sd-cl/st,5,0.084511262
FL12,8,FL128,9/25/12,13,R,118,53,81.53846154,42.94557,-70.6082,9.3,32.67,-58.31689453,0.017524284,gr,1,0.017524251
FL07,37,FL0737,10/11/07,20,R,52,16,16,43.77993,-69.44453,8.1,32.64,-72.6197052,0.082176032,sd/st/cl,7,0.028199918
FL04,48,FL0448,10/27/04,20,NA,5,1,1,44.17292,-68.79983,10.4,31.91,-22.26046371,0.007603855,gr-sd,2,0.007603803
FL08,32,FL0832,10/10/08,20,F,309,187,187,43.8268,-69.48985,8.6,31.21,-68.63312531,0.016992957,sd-st/cl,6,0.016993076
FL02,68,FL0268,11/14/02,21,R,7,1,0.952380952,44.25317,-67.75667,8.8,33.01,-99.65686035,0.155471555,sd-cl/st,5,0.045682106
FL10,22,FL1022,10/12/10,20,R,175,66,66,43.76318,-70.08045,13.1,31.82,-16.61933899,0.007668977,sd-st/cl,6,0.007668974
FL12,35,FL1235,10/3/12,20,R,202,104,104,43.70783,-69.6921,10.7,32.96,-65.2457962,0.042461631,sd/st/cl,7,0.042101701
FL09,49,FL0949,10/21/09,20,R,117,62,62,44.11992,-69.0525,10.9,31.44,-29.30004311,0.02450892,sd-st/cl,6,0.024509083
FL05,11,FL0511,10/17/05,12,NA,245,111,185,43.5,-70.3335,9.9,32.33,-22.92000771,0.016050507,gr-sd,2,0.016050596
FL01,54,FL0154,10/15/01,20,F,214,47,47,44.1677,-68.528,NA,NA,-13.26159763,0.028064921,gr-sd,2,0.023625948
FL10,31,FL1031,10/13/10,20,RA,223,63,63,43.63447,-69.7509,10.1,33.07,-79.67068481,0.069867169,sd/st/cl,7,0.029768343
FL11,18,FL1118,10/8/11,20,RA,107,36,36,43.4488,-70.19183,9.2,32.63,-86.06796265,0.097101073,sd,3,0.009702847
FL00,78,FL0078,12/4/00,20,R,6,0,0,44.6968,-66.9431,NA,NA,-95.67599487,0.106884921,sd/st/cl,7,0.007621152
FL08,55,FL0855,10/21/08,20,NA,82,12,12,43.94295,-68.57763,10.5,32.79,-84.66159058,0.074613372,sd/st/cl,7,0.062167363
FL07,68,FL0768,10/25/07,18,F,167,45,50,44.21792,-68.07218,9.6,32.97,-73.73760223,0.114367813,sd-cl/st,5,0.093656666
FL12,77,FL1277,10/18/12,20,NA,308,203,203,44.14565,-68.1125,12.3,33.64,-84.28801727,0.123468012,sd-cl/st,5,0.017906418
FL02,59,FL0259,11/8/02,20,F,54,8,8,44.20588,-68.436,8.9,32.82,-25.03682709,0.017676095,sd/st/cl,7,0.006043031
FL09,62,FL0962,10/27/09,19,R,232,44,46.31578947,44.01963,-68.39332,10.2,33.1,-81.86938477,0.082223007,sd/st/cl,7,0.082223042
FL05,3,FL053,10/10/05,20,NA,20,3,3,42.87433,-70.6715,7.5,31.83,-61.44000626,0.104393722,sd,3,0.017755779
FL02,48,FL0248,11/1/02,21,F,56,3,2.857142857,43.91105,-68.62445,10.8,33.25,-90.32682037,0.09913827,sd/st/cl,7,0.080512173
FL09,11,FL0911,10/7/09,20,R,1,1,1,43.16312,-70.3108,6.5,33.1,-114.2938309,0.169372373,sd-cl/st,5,0.025434351
FL05,37,FL0537,10/31/05,15,NA,10,0,0,43.78733,-68.69733,10.1,33.11,-103.3447952,0.105766671,sd/st/cl,7,0.051948744
FL02,33,FL0233,10/28/02,20,R,8,1,1,43.74457,-69.15273,11.5,33.11,-101.22612,0.117441823,sd/st/cl,7,0.004551565
FL07,59,FL0759,10/22/07,18,RA,105,28,31.11111111,44.00947,-68.40458,9.3,33.01,-83.54119873,0.091219414,sd/st/cl,7,0.087291215
FL02,18,FL0218,10/21/02,18,R,561,358,397.7777778,43.65125,-70.09583,12.2,32.6,-31.76990891,0.017733255,gr,1,0.017162626
FL04,5,FL045,10/13/04,19,R,31,0,0,43.01883,-70.54583,8.5,32.33,-66.19979095,0.052642904,sd,3,0.013627479
FL11,22,FL1122,10/8/11,20,NA,864,538,538,43.5275,-70.28117,NA,NA,-24.46157074,0.02361721,gr-sd,2,0.016791071
FL02,60,FL0260,11/9/02,20,R,5,0,0,44.44333,-68.16357,8.9,32.87,-34.74356461,0.015348782,sd-st/cl,6,0.015348684
FL10,73,FL1073,11/1/10,20,R,17,0,0,44.19732,-67.80188,9.8,34.12,-121.5873108,0.179527372,sd-cl/st,5,0.053204047
FL00,46,FL0046,11/21/00,20,R,27,0,0,44.0078,-68.5552,9.3,32.84,-76.88427734,0.02613999,sd/st/cl,7,0.012326428
FL03,1,FL031,10/13/03,18,F,156,58,64.44444444,42.939,-70.745,13.6,31.66,-28.60001564,0.034459972,gr,1,0.005425044
FL10,9,FL109,10/7/10,20,NA,13,3,3,42.95255,-70.49747,9.1,32.34,-88.39259338,0.104411444,sd-cl/st,5,0.013292235
FL11,42,FL1142,10/19/11,15,R,535,410,546.6666667,44.15398,-69.04863,12.9,30.51,-23.99766159,0.013952631,sd-st/cl,6,0.013952767
FL10,27,FL1027,10/13/10,19,R,704,468,492.6315789,43.79283,-69.69658,10.8,32.84,-50.93745041,0.015960743,sd-st/cl,6,0.015960706
FL04,27,FL0427,10/19/04,18,R,59,21,23.33333333,43.72258,-70.16277,11.3,31.62,-12.95874977,0.011189966,sd-st/cl,6,0.011189946
FL11,36,FL1136,10/13/11,15,R,4,0,0,43.63243,-69.54413,9.7,32.98,-118.8123932,0.125006478,sd/st/cl,7,0.069345971
FL10,72,FL1072,10/29/10,20,RA,865,674,674,44.22277,-68.13298,11.1,32.81,-59.7339592,0.062094715,sd-cl/st,5,0.045892216
FL11,37,FL1137,10/14/11,15,NA,260,167,222.6666667,43.83168,-69.4869,NA,NA,-68.63356018,0.016686526,sd-st/cl,6,0.016686675
FL12,30,FL1230,10/2/12,20,F,63,35,35,43.61198,-69.86087,9.9,33.13,-78.29725647,0.091795623,sd-st/cl,6,0.011408546
FL06,67,FL0667,10/24/06,20,NA,8,0,0,43.91182,-68.2865,9.7,33.74,-118.4311676,0.167052052,sd-st/cl,6,0.050771758
FL11,26,FL1126,10/10/11,12,NA,276,153,255,43.65655,-70.08943,NA,NA,-36.88697052,0.018313892,gr,1,0.014668511
FL11,33,FL1133,10/12/11,17,F,274,126,148.2352941,43.71037,-69.74382,NA,NA,-28.11659622,0.010783014,sd,3,0.005398668
FL10,42,FL1042,10/19/10,20,R,33,6,6,44.2263,-68.8568,12.4,31.14,-19.78182411,0.005147805,sd-st/cl,6,0.00183961
FL11,2,FL112,10/4/11,16,R,212,123,153.75,42.9507,-70.66868,NA,NA,-42.88186646,0.044971924,gr,1,0.023088242
FL09,90,FL0990,11/5/09,16,RA,184,39,48.75,44.52045,-67.44755,10.2,32.44,-48.78276443,0.034239169,sd,3,0.004308418
FL02,21,FL0221,10/22/02,20,F,8,1,1,43.59973,-69.87118,10.1,31.99,-85.63063812,0.10591337,sd-st/cl,6,0.021306396
FL02,39,FL0239,10/29/02,20,R,113,0,0,44.08193,-69.0054,11.4,32.72,-99.54937744,0.026793083,sd-st/cl,6,0.026793169
FL05,14,FL0514,10/19/05,20,R,45,9,9,43.54633,-70.00417,8.3,32.83,-98.05691528,0.15499105,sd/st/cl,7,0.006486907
FL04,16,FL0416,10/17/04,20,R,25,14,14,43.50167,-70.35433,12,31.42,-12.38202,0.022016581,gr-sd,2,0.022016624
FL06,45,FL0645,10/17/06,20,R,438,302,302,43.8493,-69.10793,11,33.06,-60.70460892,0.025157947,sd/st/cl,7,0.025157888
FL03,14,FL0314,10/17/03,15,F,130,58,77.33333333,43.42383,-70.27717,8.7,32.92,-66.53917694,0.060576971,sd,3,0.011101468
FL06,43,FL0643,10/17/06,20,R,853,606,606,43.93783,-69.19478,11.9,32.68,-27.2576561,0.008741486,gr-sd,2,0.00874145
FL04,78,FL0478,11/10/04,20,F,1,0,0,44.29663,-67.50212,8.1,33.01,-105.3824158,0.171230799,sd/st/cl,7,0.033213888
FL11,49,FL1149,10/22/11,20,NA,27,2,2,43.77082,-68.65028,9.9,33.41,-116.7658691,0.143918021,sd/st/cl,7,0.014549425
FL11,59,FL1159,10/26/11,20,R,66,2,2,43.95497,-68.34603,10.1,33.35,-100.0807419,0.143951464,sd/st/cl,7,0.014103461
FL08,44,FL0844,10/15/08,20,F,1,0,0,43.61313,-68.94018,8.1,33.2,-126.6160507,0.188094929,sd-st/cl,6,0.091770603
FL12,5,FL125,9/25/12,20,R,103,28,28,43.04877,-70.46863,8.3,32.82,-86.25281525,0.071874462,sd,3,0.000885232
FL04,60,FL0460,11/2/04,20,F,15,0,0,43.96713,-68.32312,8.6,32.61,-99.47000122,0.135128182,sd/st/cl,7,0.015252987
FL03,3,FL033,10/13/03,20,R,5,0,0,42.92167,-70.54317,6.8,32.62,-81.29737854,0.070918281,sd-cl/st,5,0.014399076
FL11,68,FL1168,10/28/11,15,F,57,3,4,44.05613,-68.05728,9.2,33.74,-109.1091385,0.110911373,sd-cl/st,5,0.026623083
FL08,61,FL0861,10/23/08,19,NA,46,5,5.263157895,44.00607,-68.30143,10.2,32.83,-89.21479034,0.101844456,sd/st/cl,7,0.037668819
FL04,26,FL0426,10/19/04,15,R,100,49,65.33333333,43.63588,-70.17158,11.3,31.56,-23.39454269,0.013818491,gr,1,0.013818337
FL12,73,FL1273,10/18/12,20,R,198,69,69,44.1809,-68.02067,12.3,33.08,-81.40927124,0.145156989,sd-cl/st,5,0.115924814
FL03,57,FL0357,11/6/03,16,NA,14,0,0,44.1605,-67.95617,10.1,33.23,-84.79960632,0.18194256,sd-cl/st,5,0.153017453
FL02,80,FL0280,11/20/02,22,R,17,0,0,44.74643,-67.02095,9.4,33,-67.28495789,0.022435587,sd-cl/st,5,0.00809241
FL09,40,FL0940,10/20/09,20,R,381,203,203,43.77322,-69.18077,10.6,32.87,-87.44852448,0.099066218,sd/st/cl,7,0.044323834
FL06,37,FL0637,10/14/06,20,F,4,1,1,43.69727,-69.51138,9.1,33.16,-108.2126999,0.089282446,sd/st/cl,7,0.089282298
FL12,58,FL1258,10/11/12,15,R,411,274,365.3333333,43.93397,-68.7859,12.9,33.44,-80.95991516,0.059775874,sd-st/cl,6,0.026732709
FL00,41,FL0041,11/16/00,17,NA,71,2,2.352941176,43.9258,-68.7467,10,32.95,-87.71562195,0.03519096,sd-st/cl,6,0.021720729
FL03,68,FL0368,11/12/03,20,F,11,0,0,44.29983,-67.49567,9.4,33.51,-105.929245,0.170851573,sd/st/cl,7,0.037762257
FL04,74,FL0474,11/8/04,20,F,18,0,0,44.30027,-67.67692,8.5,32.67,-80.87149048,0.141842768,sd-cl/st,5,0.089337652
FL10,43,FL1043,10/19/10,16,R,4,0,0,44.3005,-68.79297,12.5,31.87,-3.379994869,0.007546232,sd-st/cl,6,0.0075462
FL10,62,FL1062,10/26/10,20,R,42,3,3,44.36033,-68.53443,11.9,32.53,-33.04384995,0.012153056,sd-st/cl,6,0.012153113
FL10,15,FL1015,10/8/10,20,RA,1,0,0,43.40633,-70.09068,8.8,33.11,-119.4652863,0.190007951,sd/st/cl,7,0.002090387
FL08,18,FL0818,10/6/08,14,R,980,660,942.8571429,43.77398,-70.03913,12.3,31.64,-17.37090492,0.009121537,sd-st/cl,6,0.009121503
FL09,83,FL0983,11/3/09,15,R,94,5,6.666666667,44.31762,-67.5935,10.2,32.72,-80.51152039,0.122526443,sd-cl/st,5,0.058795344
